country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Bangladesh,2021-01-01,,,,,4.40597974242063,-0.962003231048584,0.154920473694801,98.9910278320313,,,,,,5.54565430773474,3.07621573507077,6.00644444447223,,,7.64236301017901,8.3242513417429,-0.627411544322968,0.240108236670494,,,,,38.91744466,,1.26977671903006,416264802185.166,-0.970162391662598,0.239415779709816,-0.611260771751404,0.159387707710266,-0.845715045928955,0.192613184452057,2.11938500404358,,,,17.821,5.68,72.381,169356251.0,103398765.0,-0.769644260406494,0.130795285105705,
Bangladesh,2022-01-01,,,,,4.43835549701217,,,,,,,,,7.69695437176894,1.9724805729144,2.09060731634453,,,,,,,,,,,,2.6,,460201000095.101,,,,,,,,,,,,,,171186372.0,103206552.0,,,
India,1960-01-01,,,,,,,,,,,,,,1.77987784677379,,,,,,,,,,,,,,,2.00401234567901,37029883846.9303,,,,,,,,,,,42.506,19.633,45.218,445954579.0,366021680.0,,,
India,1961-01-01,58.8431953558299,,2973190.0,1083.0,,,,,,,,,153.488971777787,1.69521293914439,,,,,,,,,,,,,,,2.07435972060536,39232435753.0422,,,,,,,,,,,42.294,19.446,45.398,456351876.0,374062506.0,,,
India,1962-01-01,59.357794153754,,2973190.0,1083.0,,,,,,,,,157.078489097569,3.63221497106987,,,,,,,,,,,,,,,2.74540043290043,42161481824.7743,,,,,,,,,,,42.101,19.205,45.659,467024193.0,381941726.0,,,
India,1963-01-01,59.2474749343298,,2973190.0,1083.0,,,,,,,,,160.747755441126,2.94616135685227,,,,,,,,,,,,,,,4.02530602636535,48421923420.8701,,,,,,,,,,,41.907,18.964,45.936,477933619.0,389969936.0,,,
India,1964-01-01,59.4351521429845,,2973190.0,1083.0,,,,,,,,,164.48975982026,13.3552611508153,,,,,,,,,,,,,,,3.81923698021801,56480289896.3705,,,,,,,,,,,41.721,18.761,46.184,489059309.0,398118730.0,,,
India,1965-01-01,59.5915498168634,,2973190.0,1083.0,,,,,,,,,168.208000834121,9.47475859170697,,,,,,,,,,,,,,,3.87141491395794,59554854575.8085,,,,,,,,,,,41.346,19.642,44.98,500114346.0,406167866.0,,,
India,1966-01-01,59.7102775133779,,2973190.0,1083.0,,,,,,,,,171.866788533528,10.8018483489341,,,,,,,,,,,,,,,3.57237064592492,45865462034.2857,,,,,,,,,,,40.918,19.342,45.333,510992617.0,414021548.0,,,
India,1967-01-01,59.803443439538,,2973190.0,1083.0,,,,,,,,,175.564652444008,13.0622024777969,,,,,,,,,,,,,,,3.22392372146778,50134942160.5497,,,,,,,,,,,40.592,19.082,45.674,521987069.0,421916928.0,,,
India,1968-01-01,59.9907843091091,,2973190.0,1083.0,,,,,,,,,179.413999441677,3.23741242627508,,,,,,,,,,,,,,,3.24556858467412,53085455824.6593,,,,,,,,,,,40.207,17.778,47.471,533431909.0,430127486.0,,,
India,1969-01-01,59.7983983532838,,2973190.0,1083.0,,,,,,,,,183.41063638718,-0.584136610466297,,,,,,,,,,,,,,,3.14081455805893,58447994966.6784,,,,,,,,,,,39.792,17.51,47.857,545314670.0,438640214.0,,,
India,1970-01-01,59.8858465150226,,2973190.0,1083.0,,,,,,,,,187.50947669002,5.09226161997544,,,,,,,,,,,,,,,3.18518303985171,62422483000.5672,,,,,,,,,,,39.533,17.228,48.241,557501301.0,447339044.0,,,
India,1971-01-01,59.8068068303741,,2973190.0,1083.0,,,,,,97.4071580152349,,,191.713001187277,3.07993868406547,,,,,,,,,,,,,,,3.65245352356247,67351407965.1281,,,,,,,,,,,39.43,16.938,48.632,569999178.0,456050642.0,,,
India,1972-01-01,59.8501945721599,,2973190.0,1083.0,,,,,,100.003779266455,,,196.03118973224,6.44209746158235,,,,,,,,,,,,,,,3.7179474612821,71463193831.0092,,,,,,,,,,,39.173,16.643,49.025,582837973.0,464399469.0,,,
India,1973-01-01,60.1209475344664,,2973190.0,1083.0,,,,,,100.406389295402,,,200.494244565601,16.9408159791736,,,,,,,,,,,,,,,3.15864376713433,85515269585.4,,,,,,,,,,,38.962,16.27,49.539,596107483.0,472993405.0,,,
India,1974-01-01,60.2995435878635,,2973190.0,1083.0,,,,,,103.835854845252,,,205.073322256566,28.598734077509,,,,,8.18112088549798,8.73291191534832,,,,,,,,,3.20282632441289,99525899116.054,,,,,,,,,,,38.629,15.786,50.244,609721951.0,481735216.0,,,
